agv_id,route
A001,"DEPOT,T0004,T0003,T0005,DEPOT,T0006,T0008,T0007,T0002,DEPOT"
A003,"DEPOT,T0009,T0014,T0013,T0015,DEPOT,T0011,T0010,T0012,DEPOT"
A004,"DEPOT,T0068,DEPOT,T0070,T0065,DEPOT,T0071,T0069,DEPOT"
A005,"DEPOT,T0063,DEPOT,T0064,T0062,DEPOT"
A006,"DEPOT,T0082,DEPOT,T0080,T0081,DEPOT,T0083,DEPOT"
A007,"DEPOT,T0033,T0036,T0034,DEPOT,T0032,T0030,DEPOT"
A010,"DEPOT,T0041,T0043,DEPOT"
A011,"DEPOT,T0053,DEPOT,T0057,T0056,T0052,DEPOT"
A012,"DEPOT,T0025,T0028,T0029,DEPOT,T0026,T0024,T0027,DEPOT"
A013,"DEPOT,T0048,DEPOT,T0046,T0047,T0044,DEPOT"
A014,"DEPOT,T0021,T0018,T0020,DEPOT"
